Date,Time,Count
2020-05-13,12-47-48,2
2020-05-13,12-51-09,1
2020-05-13,12-54-30,1
2020-05-13,12-57-51,4
2020-05-13,13-01-12,6
2020-05-13,13-04-33,3
2020-05-13,13-07-54,7
2020-05-13,13-11-15,2
2020-05-13,13-14-36,2
2020-05-13,13-17-57,2
2020-05-13,13-21-18,3
2020-05-13,13-24-39,5
2020-05-13,13-28-00,2
2020-05-13,13-31-21,4
2020-05-13,13-34-42,5
2020-05-13,13-38-03,2
2020-05-13,13-41-24,1
2020-05-13,13-44-45,2
2020-05-13,13-48-06,1
2020-05-13,13-51-27,3
2020-05-13,13-54-48,1
2020-05-13,13-58-09,2
2020-05-13,14-01-30,6
2020-05-13,14-04-51,3
2020-05-13,14-08-12,5
2020-05-13,14-11-33,4
2020-05-13,14-14-54,2
2020-05-13,14-18-15,3
2020-05-13,14-21-36,4
2020-05-13,14-24-57,0
2020-05-13,14-28-18,3
2020-05-13,14-31-39,4
2020-05-13,14-35-00,3
2020-05-13,14-38-21,0
2020-05-13,14-41-42,2
2020-05-13,14-45-03,4
2020-05-13,14-48-24,2
2020-05-13,14-51-45,2
2020-05-13,14-55-06,3
2020-05-13,14-58-27,5
2020-05-13,15-01-48,8
2020-05-13,15-05-09,3
2020-05-13,15-08-30,2
2020-05-13,15-11-51,1
2020-05-13,15-15-12,3
2020-05-13,15-18-33,0
2020-05-13,15-21-54,3
2020-05-13,15-25-15,3
2020-05-13,15-28-36,9
2020-05-13,15-31-57,5
2020-05-13,15-35-18,1
2020-05-13,15-38-39,2
2020-05-13,15-42-00,4
2020-05-13,15-45-21,6
2020-05-13,15-48-42,1
2020-05-13,15-52-03,5
2020-05-13,15-55-24,4
2020-05-13,15-58-45,1
2020-05-13,16-02-06,2
2020-05-13,16-05-27,1
2020-05-13,16-08-48,2
2020-05-13,16-12-09,2
2020-05-13,16-15-30,2
2020-05-13,16-18-51,3
2020-05-13,16-22-12,2
2020-05-13,16-25-33,2
2020-05-13,16-28-54,4
2020-05-13,16-32-15,5
2020-05-13,16-35-36,9
2020-05-13,16-38-57,3
2020-05-13,16-42-18,4
2020-05-13,16-45-39,3
2020-05-13,16-49-00,2
2020-05-13,16-52-21,4
2020-05-13,16-55-42,2
2020-05-13,16-59-03,1
2020-05-13,17-02-24,2
2020-05-13,17-05-45,2
2020-05-13,17-09-06,3
2020-05-13,17-12-27,2
2020-05-13,17-15-48,4
